model,bibkey,dataset,EOS,nus,q,M1,M2,Mb1,Mb2,C1,C2,Lambda,Mej,vej,Yeej,theta_rms,Mdisk,arxiv
S12132,Vincent:2019kor,M0/M1Set,SFHo,M1,1.0989010989011,1.32,1.2,1.45561990592335,1.31309623232323,0.163,0.148,662.491433851814,0.01574,0.23,0.224,,0.121,https://arxiv.org/abs/1908.00655
S12144,Vincent:2019kor,M0/M1Set,SFHo,M1,1.20481927710843,1.44,1.2,1.60785275862069,1.31309623232323,0.179,0.148,505.235106662032,0.00839,0.22,0.206,,0.164,https://arxiv.org/abs/1908.00655
S12156,Vincent:2019kor,M0/M1Set,SFHo,M1,1.2987012987013,1.56,1.2,1.75989925751073,1.31309623232323,0.195,0.148,395.188468596727,0.01802,0.181,0.204,,0.179,https://arxiv.org/abs/1908.00655
BHBlp_M135135_M0,Radice:2018pdn(M0),M0/M1Set,BHBlp,leakM0,1,1.35,1.35,1.47277,1.47277,0.15103,0.15103,848.044957999892,0.00138836,0.144859225911,0.262248129383,38.2515624593765,0.1275,https://arxiv.org/abs/1809.11161
BHBlp_M140120_M0,Radice:2018pdn(M0),M0/M1Set,BHBlp,leakM0,1.16666666666667,1.4,1.2,1.53253,1.29693,0.15646,0.13477,1057.59523096822,0.00160956,0.16773689762,0.193198426805,30.5193197624254,0.2256,https://arxiv.org/abs/1809.11161
DD2_M135135_M0,Radice:2018pdn(M0),M0/M1Set,DD2,leakM0,1,1.35,1.35,1.47277,1.47277,0.15103,0.15103,848.044957999892,0.0014195,0.166251706985,0.225551296204,31.6374392810305,0.1616,https://arxiv.org/abs/1809.11161
DD2_M140120_M0,Radice:2018pdn(M0),M0/M1Set,DD2,leakM0,1.16666666666667,1.4,1.2,1.53253,1.29693,0.15646,0.13477,1057.59523096822,0.00164611,0.159595757173,0.211572203284,34.5877127747712,0.1948,https://arxiv.org/abs/1809.11161
LS220_M135135_M0,Radice:2018pdn(M0),M0/M1Set,LS220,leakM0,1,1.35,1.35,1.47334,1.47334,0.15686,0.15686,683.764650054587,0.00185523,0.147051125522,0.246561703806,35.5478552065256,0.0906,https://arxiv.org/abs/1809.11161
LS220_M140120_M0,Radice:2018pdn(M0),M0/M1Set,LS220,leakM0,1.16666666666667,1.4,1.2,1.53451,1.29564,0.16308,0.13872,893.436162642197,0.00242864,0.149788172768,0.184839417266,29.6753170921998,0.2338,https://arxiv.org/abs/1809.11161
SFHo_M135135_M0,Radice:2018pdn(M0),M0/M1Set,SFHo,leakM0,1,1.35,1.35,1.48606,1.48606,0.1675,0.1675,416.185826350486,0.00415131,0.219647104556,0.22419246258,33.0331401630261,0.0123,https://arxiv.org/abs/1809.11161
SFHo_M140120_M0,Radice:2018pdn(M0),M0/M1Set,SFHo,leakM0,1.16666666666667,1.4,1.2,1.54655,1.30308,0.17405,0.14824,538.206929183586,0.00302384,0.160097161085901,0.218538548707291,,0.1565,https://arxiv.org/abs/1809.11161
